title,description,type,question,options,answer,difficulty
database concepts and relational thinking,Definition of primary key,multiple choice,What does a primary key guarantee about a column (or set of columns) in a table?,"It must contain unique, non-repeating values for every row|It must always be a number|It must be the first column listed in the table|It must contain the same value as a foreign key in another table","It must contain unique, non-repeating values for every row",beginner
database concepts and relational thinking,Identify the primary key,multiple choice,"In the customers table (customer_id, full_name, city, phone, membership_tier, total_spent, joined_date), which column is the primary key?",full_name|city|customer_id|membership_tier,customer_id,beginner
database concepts and relational thinking,FK references a primary key,True or False,True or False: A foreign key in one table must reference the primary key of another table.,True|False,True,beginner
database concepts and relational thinking,Identify FK in orders,multiple choice,"In the orders table (order_id, customer_id, order_date, status), which column is the foreign key, and what does it point to?","order_id, pointing to itself|customer_id, pointing to customers.customer_id|order_date, pointing to a calendar table|status, pointing to a lookup table","customer_id, pointing to customers.customer_id",intermediate
database concepts and relational thinking,Definition of grain,multiple choice,"What is the ""grain"" of a table?",The total number of rows it contains|What one single row represents|The number of columns it has|The order columns are listed in,What one single row represents,intermediate
database concepts and relational thinking,Why order_items is separate,multiple choice,"Eko Traders' orders table has one row per order, while order_items has one row per product within an order. Why are these two separate tables rather than one?","Because SQL requires every table to have fewer than five columns|Because an order can contain more than one product, and one orders row cannot hold a variable number of products|Because order_items is faster to query|Because customers cannot be linked to more than one order","Because an order can contain more than one product, and one orders row cannot hold a variable number of products",intermediate
database concepts and relational thinking,Database versus spreadsheet,multiple choice,Which of these is a reason a database is preferable to a spreadsheet for Eko Traders' day-to-day operations?,Spreadsheets support more rows than a database|A database can enforce that two staff members editing data at once do not silently overwrite each other|Spreadsheets are always free to use|A database cannot store text values,A database can enforce that two staff members editing data at once do not silently overwrite each other,intermediate
database concepts and relational thinking,Consequence of poor grain design,multiple choice,A colleague proposes storing a customer's full order history as a single comma-separated list inside one column of the customers table. What relational-design problem does this create?,"It makes the column too short to store any data|It breaks the idea that a table's grain should be one clear thing per row, making the data hard to filter, sum or join correctly|Comma-separated values are not permitted by SQL syntax|Nothing; it is a valid and recommended pattern for storing order history","It breaks the idea that a table's grain should be one clear thing per row, making the data hard to filter, sum or join correctly",advanced
database concepts and relational thinking,PK versus FK roles,multiple choice,customer_id appears in both the customers table and the orders table. Which statement correctly describes its role in each?,It is a foreign key in both tables|It is a primary key in both tables|It is the primary key in customers and a foreign key in orders|It is the primary key in orders and a foreign key in customers,It is the primary key in customers and a foreign key in orders,advanced
"core querying: select, where, order by",Purpose of SELECT,multiple choice,Which clause in a SQL query determines which columns are returned?,FROM|WHERE|SELECT|ORDER BY,SELECT,beginner
"core querying: select, where, order by",Default sort direction,True or False,True or False: ORDER BY sorts results in ascending order by default if you do not specify ASC or DESC.,True|False,True,beginner
