title,description,type,question,options,answer,difficulty
the cleaning and transformation workflow,First step in cleaning,multiple choice,What should be the very first step when opening a new raw dataset for cleaning?,Check the shape and look at the first few rows with df.shape and df.head()|Immediately fill all missing values with the column mean|Drop every column with more than one missing value|Convert every column to its expected data type,Check the shape and look at the first few rows with df.shape and df.head(),beginner
the cleaning and transformation workflow,Detecting duplicate rows,multiple choice,Which pandas method identifies rows that are exact copies of another row across every column?,df.unique()|df.duplicated()|df.dropna()|df.value_counts(),df.duplicated(),beginner
the cleaning and transformation workflow,Raw dataset dimensions,True or False,True or False: the raw AJEBO Finance loan applications file contained 412 rows and 15 columns.,True|False,True,beginner
the cleaning and transformation workflow,Counting missing values,multiple choice,df.info() shows Loan_Amount_NGN as '405 non-null float64' in a dataset of 412 rows. How many missing values does this column have?,7|405|5|412,7,intermediate
the cleaning and transformation workflow,Why Dependents stays categorical,multiple choice,"Testing pd.to_numeric(df['Dependents'], errors='coerce') turns the value '3+' into NaN. What does this confirm?","That Dependents should remain a categorical column, not be converted to numeric|That the Dependents column is corrupted and should be dropped|That '3+' is a data entry error that must be corrected to 3|That errors='coerce' does not work on text values","That Dependents should remain a categorical column, not be converted to numeric",intermediate
the cleaning and transformation workflow,Standardising branch names,multiple choice,"Which chained method call correctly standardises Branch_Region values such as 'lagos', ' Lagos', and 'LAGOS' into a single consistent value?",df['Branch_Region'].str.strip().str.title()|df['Branch_Region'].str.upper().str.len()|df['Branch_Region'].astype(int)|df['Branch_Region'].fillna('Lagos'),df['Branch_Region'].str.strip().str.title(),intermediate
the cleaning and transformation workflow,Why Credit_History is dropped,multiple choice,Why does the workflow drop the 35 rows with missing Credit_History rather than filling them with the most common value?,"Because Credit_History is the strongest driver of loan approval in this dataset, and imputing it would manufacture a pattern that is not real|Because Credit_History is a text column and cannot be filled|Because 35 rows is too many for fillna() to process|Because Credit_History has no missing values to begin with","Because Credit_History is the strongest driver of loan approval in this dataset, and imputing it would manufacture a pattern that is not real",intermediate
the cleaning and transformation workflow,Correct versus remove reasoning,multiple choice,"A negative Monthly_Income_NGN value is corrected using .abs(), but a row with Loan_Term_Months == 0 is removed rather than corrected. What is the reasoning behind treating these two errors differently?","A negative income is very likely a sign error with a defensible true value, whereas a zero month term cannot be safely inferred, so it is safer to remove that row|Removing rows is always preferred to correcting values|Loan_Term_Months cannot contain zero values in pandas|Negative numbers cause pandas to crash, so they must be corrected first","A negative income is very likely a sign error with a defensible true value, whereas a zero month term cannot be safely inferred, so it is safer to remove that row",advanced
the cleaning and transformation workflow,Checklist item for uniqueness,multiple choice,Which item from the seven part data quality checklist is confirmed specifically by checking that df['Application_ID'].nunique() equals len(df)?,Uniqueness|Completeness|Plausible ranges|Consistency,Uniqueness,advanced
the cleaning and transformation workflow,Running without proof of success,True or False,"True or False: according to this topic, a cleaning script running without raising any error is sufficient proof that every cleaning step worked correctly.",True|False,False,advanced
visualisation principles and chart choice,Chart selection framework order,multiple choice,What is the correct order of the chart selection framework taught in this topic?,"Question, then data type, then comparison, then chart|Chart, then question, then data type, then comparison|Data type, then chart, then question, then comparison|Comparison, then chart, then question, then data type","Question, then data type, then comparison, then chart",beginner
visualisation principles and chart choice,Chart for a single distribution,multiple choice,"Which chart type is the correct tool for showing the shape and spread of a single numeric variable, such as monthly income?",Histogram|Pie chart|Bar chart of individual records|Stacked bar chart,Histogram,beginner
