title,description,type,question,options,answer,difficulty
python fundamentals consolidated,Identifying the bool type,multiple choice,What data type is the value True in Python?,str|int|bool|float,bool,beginner
python fundamentals consolidated,Variable assignment syntax,multiple choice,Which of these correctly stores a piece of text in a variable?,"branch_name = Lagos|branch_name = ""Lagos""|branch_name == ""Lagos""|""branch_name"" = ""Lagos""","branch_name = ""Lagos""",beginner
python fundamentals consolidated,Lists hold collections,True or False,"True or False: a Python list can hold more than one value, such as a list of daily sales figures.",True|False,True,beginner
python fundamentals consolidated,Dictionary key access,multiple choice,"In the dictionary transaction = {""branch"": ""Lagos"", ""amount"": ""15,000""}, which of these retrieves the branch name?","transaction[0]|transaction.branch|transaction[""branch""]|transaction(""branch"")","transaction[""branch""]",beginner
python fundamentals consolidated,Tracing an if/for loop,multiple choice,"What does this code print?
for sale in [15000, 9500]:
    if sale >= 12000:
        print(""Above target"")
    else:
        print(""Below target"")","Above target, Above target|Above target, Below target|Below target, Above target|Below target, Below target","Above target, Below target",intermediate
python fundamentals consolidated,import and library functions,multiple choice,What does import statistics followed by statistics.mean(daily_sales) do?,Imports a library and calculates the average of daily_sales|Creates a new variable called statistics|Sorts daily_sales from smallest to largest|Converts daily_sales into a dictionary,Imports a library and calculates the average of daily_sales,intermediate
python fundamentals consolidated,Defining vs calling a function,multiple choice,"A function is defined as:
def average_sale(sales_list):
    return statistics.mean(sales_list)
What must you do to actually get a result from it?","Nothing, defining it runs it automatically|Call it with a list, e.g. average_sale(daily_sales)|Type def average_sale again|Import it a second time","Call it with a list, e.g. average_sale(daily_sales)",intermediate
python fundamentals consolidated,Currency-symbol ValueError,True or False,"True or False: running clean_amount(""₦15,000"") through def clean_amount(value): return float(value) will succeed and return 15000.0.",True|False,False,intermediate
python fundamentals consolidated,Interpreting a ValueError,multiple choice,"You run a cell and see: ValueError: could not convert string to float: '₦15,000'. What is the most accurate description of the problem?",The variable name is spelled incorrectly|float() was given text that contains non-numeric characters like ₦ and a comma|The list is empty|Python cannot read CSV files,float() was given text that contains non-numeric characters like ₦ and a comma,intermediate
python fundamentals consolidated,Correct fix for the ValueError,multiple choice,"Which fix correctly cleans the value ""₦15,000"" so that float() can convert it?","value.replace(""₦"", """").replace("","", """")|value.remove(""₦"", "","")|float(value, ""₦"", "","")|value.strip(""₦15,000"")","value.replace(""₦"", """").replace("","", """")",advanced
python fundamentals consolidated,Extending a cleaning function,multiple choice,"A transactions list contains dictionaries with an ""amount"" field like ""NGN 9,500"". Which change correctly extends a working clean_amount(value) function, which already strips ""₦"" and "","", so it also handles this format?","Add value = value.replace(""NGN "", """") before the float conversion|Rename the column to NGN|Use int() instead of float()|Change the dictionary key from ""amount"" to ""NGN""","Add value = value.replace(""NGN "", """") before the float conversion",advanced
python fundamentals consolidated,missing dictionary key,True or False,"True or False: if a list contains a mix of dictionaries, and one dictionary is missing the ""amount"" key, calling record[""amount""] on that dictionary will raise a KeyError, not silently return an empty value.",True|False,True,advanced
loading and inspecting data with pandas,Standard pandas import,multiple choice,Which line correctly imports pandas using the standard convention taught in this course?,import pandas|import pandas as pd|from pandas import *|include pandas,import pandas as pd,beginner
loading and inspecting data with pandas,Loading a CSV,multiple choice,Which command loads a CSV file called branch_sales.csv into a DataFrame named df?,"df = pd.read_csv(""branch_sales.csv"")|df = pd.open(""branch_sales.csv"")|df = pandas.load(""branch_sales.csv"")|pd.read_csv(df, ""branch_sales.csv"")","df = pd.read_csv(""branch_sales.csv"")",beginner
loading and inspecting data with pandas,DataFrame anatomy,True or False,"True or False: in a pandas DataFrame, the row labels on the left-hand side are called the index.",True|False,True,beginner
loading and inspecting data with pandas,head() usage,multiple choice,Which command shows the first 5 rows of a DataFrame?,df.top()|df.first()|df.head()|df.start(),df.head(),beginner
loading and inspecting data with pandas,Interpreting .shape,multiple choice,"df.shape returns (20, 9). What does this tell you?",The DataFrame has 20 columns and 9 rows|The DataFrame has 20 rows and 9 columns|The DataFrame took 20.9 seconds to load|There are 209 missing values,The DataFrame has 20 rows and 9 columns,intermediate
